hs_object_id,domain,name,reason
429710653678,hubspot.com,HubSpot,SaaS/naujienlaiškis/atsitiktinis domenas
429710709984,example.com,,be pavadinimo (auto iš domeno)
429668498643,vspn.lt,,be pavadinimo (auto iš domeno)
429668543710,stvarkyba.lt,,be pavadinimo (auto iš domeno)
429668450514,gmail.com.com,,be pavadinimo (auto iš domeno)
429668605155,gmail.de,,be pavadinimo (auto iš domeno)
429710884087,sausio13.vilnius.lm.lt,,be pavadinimo (auto iš domeno)
429668632819,grinys.lt,,be pavadinimo (auto iš domeno)
429668576481,lt.ey.com,,be pavadinimo (auto iš domeno)
429668559080,sigma.lt,,be pavadinimo (auto iš domeno)
429668501691,juridical.lt,,be pavadinimo (auto iš domeno)
429710739659,invilta.lt,,be pavadinimo (auto iš domeno)
429668588786,tuminauskas.lt,,be pavadinimo (auto iš domeno)
429710822589,rolma.lt,,be pavadinimo (auto iš domeno)
429710739685,perfektwood.lt,,be pavadinimo (auto iš domeno)
429668453571,mrp.lt,,be pavadinimo (auto iš domeno)
429710851320,saulinskiene.lt,,be pavadinimo (auto iš domeno)
429668546790,gmal.com,,be pavadinimo (auto iš domeno)
429710525631,gamil.com,,be pavadinimo (auto iš domeno)
429668533461,promotor.lt,,be pavadinimo (auto iš domeno)
429710808309,dreiss.com,,be pavadinimo (auto iš domeno)
429668702440,riihos-uab.lt,,be pavadinimo (auto iš domeno)
429710858430,hannacrm.app,,SaaS/naujienlaiškis/atsitiktinis domenas
429710813432,possistema.lt,ČEKIS,SaaS/naujienlaiškis/atsitiktinis domenas
429668669675,partneris.eu,,be pavadinimo (auto iš domeno)
429710829764,paslaugos.lt,,be pavadinimo (auto iš domeno)
429710898423,stat.gov.lt,Statistics Lithuania. State Data Agency,SaaS/naujienlaiškis/atsitiktinis domenas
429668563192,topkeyshop.com,Top Key Shop,SaaS/naujienlaiškis/atsitiktinis domenas
429710898424,simpleinvoices.io,Simple Invoices,SaaS/naujienlaiškis/atsitiktinis domenas
429668583617,alina-group.pl,,be pavadinimo (auto iš domeno)
429668551905,makecommerce.lt,MakeCommerce,SaaS/naujienlaiškis/atsitiktinis domenas
429668689083,rvnski.store,,be pavadinimo (auto iš domeno)
429710943420,progai.lt,Progai,SaaS/naujienlaiškis/atsitiktinis domenas
429710891217,post.penki.lt,,SaaS/naujienlaiškis/atsitiktinis domenas
429668593911,estopay.lt,,be pavadinimo (auto iš domeno)
429710829775,estima.tech,Estima,SaaS/naujienlaiškis/atsitiktinis domenas
429668656366,ceneo.pl,Ceneo,SaaS/naujienlaiškis/atsitiktinis domenas
429668703419,dizainosimfonija.lt,,be pavadinimo (auto iš domeno)
429668564163,ehr.lt,,be pavadinimo (auto iš domeno)
429710829777,orders.temu.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429710841043,postapi.lt,,SaaS/naujienlaiškis/atsitiktinis domenas
429710899402,mail.anthropic.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429710891223,cvbankas.lt,CVbankas.lt,SaaS/naujienlaiškis/atsitiktinis domenas
429710926015,synopticom.com,Synopticom,SaaS/naujienlaiškis/atsitiktinis domenas
429668669687,skreklama.lt,Skaitmeninė Reklama,SaaS/naujienlaiškis/atsitiktinis domenas
429710899407,venipak-sales.com,,be pavadinimo (auto iš domeno)
429710858447,ziniur.lt,,SaaS/naujienlaiškis/atsitiktinis domenas
429710899408,spartireklama.lt,Sparti Reklama,SaaS/naujienlaiškis/atsitiktinis domenas
429710841054,skelbiu.lt,Skelbiu,SaaS/naujienlaiškis/atsitiktinis domenas
429668594879,medialt.lt,MediaLT,SaaS/naujienlaiškis/atsitiktinis domenas
429668703439,colliers.lt,,be pavadinimo (auto iš domeno)
429710891237,sheinmail.net,,SaaS/naujienlaiškis/atsitiktinis domenas
429710829797,alumni.ucl.ac.uk,,SaaS/naujienlaiškis/atsitiktinis domenas
429710926036,korona.lt,,be pavadinimo (auto iš domeno)
429668583663,klasikosnamai.lt,,be pavadinimo (auto iš domeno)
429710841063,smartsupp.com,Smartsupp,SaaS/naujienlaiškis/atsitiktinis domenas
429710829804,mg.smartsupp.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429668670668,mercell.com,Mercell,SaaS/naujienlaiškis/atsitiktinis domenas
429668703458,keskosenukai.lt,,be pavadinimo (auto iš domeno)
429710891255,cookking.online,Cookking,SaaS/naujienlaiškis/atsitiktinis domenas
429668594898,greenpoint.lt,Greenpoint,SaaS/naujienlaiškis/atsitiktinis domenas
429668703464,paciolis.lt,Paciolis,SaaS/naujienlaiškis/atsitiktinis domenas
429710916819,rimibaltic.com,Rimi Baltic,SaaS/naujienlaiškis/atsitiktinis domenas
429710892228,accor.com,Accor,SaaS/naujienlaiškis/atsitiktinis domenas
429710858485,geeks7.eu,Geeks7,SaaS/naujienlaiškis/atsitiktinis domenas
429668594905,email.anthropic.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429668670680,perks.lt,Perks,SaaS/naujienlaiškis/atsitiktinis domenas
429668703472,omberg.lt,Omberg,SaaS/naujienlaiškis/atsitiktinis domenas
429668594906,eu-order.temu.com,,SaaS/naujienlaiškis/atsitiktinis domenas
429710872765,qr.io,QR.io,SaaS/naujienlaiškis/atsitiktinis domenas
429668717796,vvf.viko.lt,,SaaS/naujienlaiškis/atsitiktinis domenas
429668613367,pakeltoslysves.online,Pakeltos lysvės,SaaS/naujienlaiškis/atsitiktinis domenas
429668657393,gytis.io,,SaaS/naujienlaiškis/atsitiktinis domenas
429668552925,penki.lt,Penki,SaaS/naujienlaiškis/atsitiktinis domenas
429668670703,dpdgroup.com,DPDgroup UK Limited,SaaS/naujienlaiškis/atsitiktinis domenas
429710797009,montepi.lt,Montepi.lt,SaaS/naujienlaiškis/atsitiktinis domenas
429710926067,klajumokanalas.lt,Klajumo Kanalas,SaaS/naujienlaiškis/atsitiktinis domenas
429668594926,hbh.lt,HBH Juozo Alus,SaaS/naujienlaiškis/atsitiktinis domenas
429710797010,kainoteka.lt,Kainoteka,SaaS/naujienlaiškis/atsitiktinis domenas
